k,pipeline,metric,mean,std,n
10,classical,ndcg,0.4837940000,0.2990516217,50
10,classical,recall,0.0116080000,0.0091031468,50
10,classical,mrr,0.6475540000,0.3861068157,50
10,classical,precision,0.4760000000,0.2846838562,50
10,classical,encode_time_ms,20.1247600000,8.4136154076,50
10,classical,search_time_ms,68.9316000000,13.4815110384,50
10,classical,total_time_ms,89.0564200000,20.0553691433,50
10,quantum,ndcg,0.4586760000,0.3061991999,50
10,quantum,recall,0.0109000000,0.0093460021,50
10,quantum,mrr,0.6433320000,0.3810533261,50
10,quantum,precision,0.4440000000,0.2928815321,50
10,quantum,encode_time_ms,29.3952400000,10.9420249974,50
10,quantum,search_time_ms,60.2270400000,11.6519210643,50
10,quantum,total_time_ms,89.6223200000,20.4859656225,50
10,statistical,ndcg,0.4946040000,0.2874405528,50
10,statistical,recall,0.0117340000,0.0088746511,50
10,statistical,mrr,0.6720540000,0.3745459941,50
10,statistical,precision,0.4840000000,0.2750584353,50
10,statistical,encode_time_ms,19.5709800000,5.7892263996,50
10,statistical,search_time_ms,73.0918800000,16.3959880417,50
10,statistical,total_time_ms,92.6628000000,19.9532901619,50
25,classical,ndcg,0.4484920000,0.2517827293,50
25,classical,recall,0.0251280000,0.0163565382,50
25,classical,mrr,0.6506480000,0.3810846546,50
25,classical,precision,0.4304000000,0.2435868030,50
25,classical,encode_time_ms,19.9419200000,11.6430055273,50
25,classical,search_time_ms,71.5765800000,16.4582414677,50
25,classical,total_time_ms,91.5185000000,25.4928772936,50
25,quantum,ndcg,0.4231000000,0.2591742870,50
25,quantum,recall,0.0231380000,0.0157220356,50
25,quantum,mrr,0.6465780000,0.3757682907,50
25,quantum,precision,0.4040000000,0.2463447062,50
25,quantum,encode_time_ms,29.8210600000,18.6515137367,50
25,quantum,search_time_ms,62.2550200000,12.9255716670,50
25,quantum,total_time_ms,92.0762400000,28.8011148987,50
25,statistical,ndcg,0.4538540000,0.2504417120,50
25,statistical,recall,0.0256820000,0.0176904643,50
25,statistical,mrr,0.6735920000,0.3718784039,50
25,statistical,precision,0.4328000000,0.2441398060,50
25,statistical,encode_time_ms,22.3680400000,10.3738369360,50
25,statistical,search_time_ms,75.2214000000,15.9353925792,50
25,statistical,total_time_ms,97.5894200000,22.1725556673,50
50,classical,ndcg,0.4127780000,0.2350209720,50
50,classical,recall,0.0444840000,0.0273881202,50
50,classical,mrr,0.6506480000,0.3810846546,50
50,classical,precision,0.3908000000,0.2295411572,50
50,classical,encode_time_ms,21.8937800000,8.1056884417,50
50,classical,search_time_ms,77.3016200000,17.8521175728,50
50,classical,total_time_ms,99.1953200000,21.3265264195,50
50,quantum,ndcg,0.3941780000,0.2324283267,50
50,quantum,recall,0.0418800000,0.0257059034,50
50,quantum,mrr,0.6465780000,0.3757682907,50
50,quantum,precision,0.3740000000,0.2230493676,50
50,quantum,encode_time_ms,32.3580800000,11.4733082819,50
50,quantum,search_time_ms,62.3873200000,10.0244200330,50
50,quantum,total_time_ms,94.7454400000,19.1178281184,50
50,statistical,ndcg,0.4163880000,0.2321878151,50
50,statistical,recall,0.0444700000,0.0267293254,50
50,statistical,mrr,0.6735920000,0.3718784039,50
50,statistical,precision,0.3920000000,0.2283927873,50
50,statistical,encode_time_ms,18.8636200000,6.2279736505,50
50,statistical,search_time_ms,70.8897200000,12.1259148850,50
50,statistical,total_time_ms,89.7533800000,15.9488543954,50
100,classical,ndcg,0.3695280000,0.2146522912,50
100,classical,recall,0.0762000000,0.0442953814,50
100,classical,mrr,0.6506480000,0.3810846546,50
100,classical,precision,0.3446000000,0.2089058962,50
100,classical,encode_time_ms,29.2974400000,11.9194619625,50
100,classical,search_time_ms,86.2015800000,21.5582176870,50
100,classical,total_time_ms,115.4989800000,25.1968571271,50
100,quantum,ndcg,0.3496540000,0.2115324448,50
100,quantum,recall,0.0716000000,0.0407355784,50
100,quantum,mrr,0.6468340000,0.3753229024,50
100,quantum,precision,0.3258000000,0.2044314166,50
100,quantum,encode_time_ms,41.9751600000,19.4823757450,50
100,quantum,search_time_ms,77.3697600000,16.1327160631,50
100,quantum,total_time_ms,119.3449200000,31.1927273541,50
100,statistical,ndcg,0.3711660000,0.2140389032,50
100,statistical,recall,0.0761800000,0.0434910265,50
100,statistical,mrr,0.6738220000,0.3714566145,50
100,statistical,precision,0.3444000000,0.2088272404,50
100,statistical,encode_time_ms,26.2486200000,12.9739931462,50
100,statistical,search_time_ms,78.7916000000,13.4041106031,50
100,statistical,total_time_ms,105.0403000000,21.3812456265,50
