metric,k,delta_type,delta_param,delta,p_tost,p_tost_holm,equivalent
nDCG@10,10,absolute,0.0100000000,0.0100000000,0.5487838171,0.5487838171,false
nDCG@25,25,absolute,0.0100000000,0.0100000000,0.1870187407,0.3740374813,false
nDCG@50,50,absolute,0.0100000000,0.0100000000,0.0226254494,0.0678763483,false
nDCG@100,100,absolute,0.0100000000,0.0100000000,0.0000343009,0.0001372035,true
nDCG@10,10,absolute,0.0200000000,0.0200000000,0.0841928584,0.0841928584,false
nDCG@25,25,absolute,0.0200000000,0.0200000000,0.0033522188,0.0067044375,true
nDCG@50,50,absolute,0.0200000000,0.0200000000,0.0000015205,0.0000045616,true
nDCG@100,100,absolute,0.0200000000,0.0200000000,4.4719229696671097e-13,1.7887691878668439e-12,true
nDCG@10,10,absolute,0.0300000000,0.0300000000,0.0026428363,0.0026428363,true
nDCG@25,25,absolute,0.0300000000,0.0300000000,0.0000085950,0.0000171900,true
nDCG@50,50,absolute,0.0300000000,0.0300000000,1.742044080395884e-11,0.0000000001,true
nDCG@100,100,absolute,0.0300000000,0.0300000000,5.814907702865154e-20,2.325963081146062e-19,true
nDCG@10,10,absolute,0.0500000000,0.0500000000,0.0000001339,0.0000001339,true
nDCG@25,25,absolute,0.0500000000,0.0500000000,1.0408334304400227e-11,2.0816668608800454e-11,true
nDCG@50,50,absolute,0.0500000000,0.0500000000,3.7697567383270315e-20,1.1309270214981093e-19,true
nDCG@100,100,absolute,0.0500000000,0.0500000000,5.591275277658894e-30,2.2365101110635577e-29,true
nDCG@10,10,relative,0.0250000000,0.0120948500,0.4229186143,0.4229186143,false
nDCG@25,25,relative,0.0250000000,0.0112123000,0.1316504345,0.2633008690,false
nDCG@50,50,relative,0.0250000000,0.0103194500,0.0179477584,0.0538432753,false
nDCG@100,100,relative,0.0250000000,0.0092382000,0.0001232717,0.0004930869,true
nDCG@10,10,relative,0.0500000000,0.0241897000,0.0236155755,0.0236155755,true
nDCG@25,25,relative,0.0500000000,0.0224246000,0.0009025584,0.0018051168,true
nDCG@50,50,relative,0.0500000000,0.0206389000,0.0000007428,0.0000022283,true
nDCG@100,100,relative,0.0500000000,0.0184764000,6.7012788136078255e-12,2.6805115254431302e-11,true
nDCG@10,10,relative,0.1000000000,0.0483794000,0.0000003201,0.0000003201,true
