k,file,pipeline,metric,aggregated,recomputed,abs_diff,flagged
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,classical,ndcg,0.4838000000,0.4837940000,0.0000060000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,classical,recall,0.0116000000,0.0116080000,0.0000080000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,classical,mrr,0.6476000000,0.6475540000,0.0000460000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,classical,precision,0.4760000000,0.4760000000,0.0000000000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,quantum,ndcg,0.4587000000,0.4586760000,0.0000240000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,quantum,recall,0.0109000000,0.0109000000,0.0000000000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,quantum,mrr,0.6433000000,0.6433320000,0.0000320000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,quantum,precision,0.4440000000,0.4440000000,0.0000000000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,statistical,ndcg,0.4946000000,0.4946040000,0.0000040000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,statistical,recall,0.0117000000,0.0117340000,0.0000340000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,statistical,mrr,0.6721000000,0.6720540000,0.0000460000,false
10,benchmark_beir-trec-covid_k10_20260407T163307.csv,statistical,precision,0.4840000000,0.4840000000,0.0000000000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,classical,ndcg,0.4485000000,0.4484920000,0.0000080000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,classical,recall,0.0251000000,0.0251280000,0.0000280000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,classical,mrr,0.6507000000,0.6506480000,0.0000520000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,classical,precision,0.4304000000,0.4304000000,0.0000000000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,quantum,ndcg,0.4231000000,0.4231000000,0.0000000000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,quantum,recall,0.0231000000,0.0231380000,0.0000380000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,quantum,mrr,0.6466000000,0.6465780000,0.0000220000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,quantum,precision,0.4040000000,0.4040000000,0.0000000000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,statistical,ndcg,0.4538000000,0.4538540000,0.0000540000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,statistical,recall,0.0257000000,0.0256820000,0.0000180000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,statistical,mrr,0.6736000000,0.6735920000,0.0000080000,false
25,benchmark_beir-trec-covid_k25_20260407T163427.csv,statistical,precision,0.4328000000,0.4328000000,0.0000000000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,classical,ndcg,0.4128000000,0.4127780000,0.0000220000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,classical,recall,0.0445000000,0.0444840000,0.0000160000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,classical,mrr,0.6507000000,0.6506480000,0.0000520000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,classical,precision,0.3908000000,0.3908000000,0.0000000000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,quantum,ndcg,0.3942000000,0.3941780000,0.0000220000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,quantum,recall,0.0419000000,0.0418800000,0.0000200000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,quantum,mrr,0.6466000000,0.6465780000,0.0000220000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,quantum,precision,0.3740000000,0.3740000000,0.0000000000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,statistical,ndcg,0.4164000000,0.4163880000,0.0000120000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,statistical,recall,0.0445000000,0.0444700000,0.0000300000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,statistical,mrr,0.6736000000,0.6735920000,0.0000080000,false
50,benchmark_beir-trec-covid_k50_20260407T163609.csv,statistical,precision,0.3920000000,0.3920000000,0.0000000000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,classical,ndcg,0.3695000000,0.3695280000,0.0000280000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,classical,recall,0.0762000000,0.0762000000,0.0000000000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,classical,mrr,0.6507000000,0.6506480000,0.0000520000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,classical,precision,0.3446000000,0.3446000000,0.0000000000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,quantum,ndcg,0.3496000000,0.3496540000,0.0000540000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,quantum,recall,0.0716000000,0.0716000000,0.0000000000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,quantum,mrr,0.6468000000,0.6468340000,0.0000340000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,quantum,precision,0.3258000000,0.3258000000,0.0000000000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,statistical,ndcg,0.3712000000,0.3711660000,0.0000340000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,statistical,recall,0.0762000000,0.0761800000,0.0000200000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,statistical,mrr,0.6738000000,0.6738220000,0.0000220000,false
100,benchmark_beir-trec-covid_k100_20260407T163750.csv,statistical,precision,0.3444000000,0.3444000000,0.0000000000,false
