pair,k,nDCG_p_holm,nDCG_r,Recall_p_holm,Recall_r,MRR_p_holm,MRR_r,P_p_holm,P_r
statistical-classical,10,0.1951316422,0.2584670232,0.5292423599,0.1978021978,0.4166997647,0.5272727273,0.0986765639,0.5054945055
statistical-classical,25,0.5248378236,0.1054421769,0.4653895213,0.1739130435,0.5456462435,0.4545454545,0.7481293637,0.0760869565
statistical-classical,50,0.2203216570,0.2032312925,0.7131516402,0.0781609195,0.5456462435,0.4545454545,0.8685218839,0.0344827586
statistical-classical,100,0.4514712425,0.1223529412,0.9795403007,0.0050420168,0.4728581473,0.4615384615,0.7626955152,-0.0588235294
classical-quantum,10,0.0174026338,0.4820512821,0.0578783494,0.4900284900,0.8612013373,0.0467836257,0.0508399521,0.4871794872
classical-quantum,25,0.0052723908,0.5134693878,0.0074697132,0.5780780781,0.8956694345,0.0350877193,0.0570196209,0.4474474474
classical-quantum,50,0.0057797634,0.4889795918,0.0371513016,0.4297328688,0.8956694345,0.0350877193,0.0457324776,0.4076655052
classical-quantum,100,0.0015098680,0.5341176471,0.0148632978,0.4532839963,0.9196118922,0.0263157895,0.0158874068,0.4717853839
statistical-quantum,10,0.0076000505,0.5412311266,0.0282522749,0.5938461538,0.8133919461,0.2222222222,0.0119699110,0.6492307692
statistical-quantum,25,0.0065764249,0.4824489796,0.0192626319,0.4817813765,0.8146204692,0.2222222222,0.0998591867,0.3643724696
statistical-quantum,50,0.0024482149,0.5493877551,0.0371513016,0.4483159117,0.8146204692,0.2222222222,0.0457324776,0.4343786295
statistical-quantum,100,0.0007752012,0.5937254902,0.0128787235,0.4888888889,0.8641130252,0.2052631579,0.0158874068,0.4608695652
